id,href,title,budget,term,start_date,category_role,level,location,register_date,deadline,applicants
157729,/project/157729/,React/antd 기반 운영 서비스 프론트엔드 추가 개발,"월 금액 5,800,000원 /월",예상 기간 90일,근무 시작일 2026.09.17.,프론트엔드 개발자,미드 레벨,모,2026.08.18,3주 5일,없음 
157568,/project/157568/,Kubernetes/Airflow 기반 데이터 ETL 플랫폼 및 파이프라인 개발,"월 금액 7,300,000원 /월",예상 기간 90일,근무 시작일 2026.09.09.,백엔드 개발자,시니어,모,2026.08.10,2주 4일,1명 
157779,/project/157779/,유치원 어린이집 교사용 업무 지원 앱 서비스 기획,"월 금액 4,000,000원 /월",예상 기간 90일,근무 시작일 즉시 시작,서비스 기획자,미드 레벨,모,2026.08.20,2주,2명 
157788,/project/157788/,JavaScript 기반 증권 MTS 모바일 웹 화면 개발,"월 금액 6,000,000원 /월",예상 기간 90일,근무 시작일 즉시 시작,풀스택 개발자,미드 레벨,모,2026.08.20,2주,없음 
157787,/project/157787/,Flutter 기반 유아교육 AI 서비스 모바일 앱 개발,"월 금액 7,000,000원 /월",예상 기간 60일,근무 시작일 2026.09.19.,모바일 앱 개발자,시니어,모,2026.08.20,2주,없음 
157796,/project/157796/,VC++/MFC 기반 양산 테스트 설비 제어 프로그램 개발,"월 금액 10,500,000원 /월",예상 기간 180일,근무 시작일 즉시 시작,풀스택 개발자,시니어,모,2026.08.20,2주,없음 
157794,/project/157794/,WebSquare5 기반 공공 및 금융 시스템 UI 개발 (주 5일 재택),예상 금액 협의 후 결정,예상 기간 90일,근무 시작일 즉시 시작,퍼블리셔,미드 레벨,모,2026.08.20,2주,없음 
157799,/project/157799/,React/Claude Code 기반 기획 및 프론트엔드 개발(싱가포르 상주/항공 및 숙박 제공),"월 금액 10,000,000원 /월",예상 기간 30일,근무 시작일 즉시 시작,PM (프로덕트 매니저),테크 리드,모,2026.08.20,2주,없음 
157797,/project/157797/,React/SpringBoot 기반 국민은행 앱 프레임워크 운영 및 유지보수,예상 금액 협의 후 결정,예상 기간 360일,근무 시작일 2026.09.14.,풀스택 개발자,미드 레벨,모,2026.08.20,2주,없음 
157735,/project/157735/,아임웹 기반 광고대행사 반응형 홈페이지 구축,"예상 금액 5,000,000원",예상 기간 45일,,개발 · 디자인 · 기획,,모,2026.08.19,1주 6일,34명 
